formal_label,model_id,spec_id,spec_label_zh,term,n,coef,se,pvalue,p_fmt,stars,coef_display,or_display,pct_display,notes,is_focal,built_at
D2,e2_entropy_increment,k8_tau020,"稳健性：K=8, τ=0.20",entropy_norm,10806,-0.3041270906315794,0.9668368224363164,0.753096617939311,0.753,,-0.304 (0.967),,,E2 entropy K=8 tau=0.2,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau020,"稳健性：K=8, τ=0.20",indirect_clean,10806,0.1386241270429273,0.0291170962208061,1.927137029460725e-06,<0.001,***,0.139*** (0.029),,,E2 entropy K=8 tau=0.2,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,robust_no_review,稳健性：排除待复核标签,entropy_norm,10657,-0.1178999570202828,0.252994887935776,0.6412032237408889,0.641,,-0.118 (0.253),,,filter robust_no_review==True,True,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,robust_no_review,稳健性：排除待复核标签,indirect_clean,10657,0.132029724320559,0.0294352211197868,7.276586907268222e-06,<0.001,***,0.132*** (0.029),,,filter robust_no_review==True,True,2026-07-05T11:16:20.452748+00:00
D3,e1b_indirect_peripheral,high_clarity,稳健性：高清晰度子样本,peripheral,16919,1.1989305794004823,1.0415033771286617,0.2496689643868729,0.250,,1.199 (1.042),3.32,,filter high_clarity==True,True,2026-07-05T11:16:20.452748+00:00
D3,e1b_indirect_peripheral,peripheral_p80,稳健性：peripheral 阈值 p80,peripheral,17067,0.8618796859155086,0.3901654930352088,0.0271739078963764,0.027,*,0.862* (0.390),2.37*,,peripheral = verified==0 & followers<p80 (77287); n_peripheral=10720,True,2026-07-05T11:16:20.452748+00:00
D3,e1b_indirect_peripheral,peripheral_p90,稳健性：peripheral 阈值 p90,peripheral,17067,1.2455706996653582,1.0420516340768944,0.2319674480052826,0.232,,1.246 (1.042),3.47,,peripheral = verified==0 & followers<p90 (679972); n_peripheral=10877,True,2026-07-05T11:16:20.452748+00:00
D3,e1b_indirect_peripheral,peripheral_p95,稳健性：peripheral 阈值 p95,peripheral,17067,18.96378147039186,,,,,18.964 (nan),172133598.78,,peripheral = verified==0 & followers<p95 (1967472); n_peripheral=10924,True,2026-07-05T11:16:20.452748+00:00
D3,e1b_indirect_peripheral,robust_no_review,稳健性：排除待复核标签,peripheral,16784,1.2346787120843663,1.0412701079750786,0.2357238188905343,0.236,,1.235 (1.041),3.44,,filter robust_no_review==True,True,2026-07-05T11:16:20.452748+00:00
D3,e1b_indirect_peripheral,unique_text,稳健性：unique text（每文本 1 帖）,peripheral,13445,1.2314975151480467,1.0701081786030715,0.2498079788475504,0.250,,1.231 (1.070),3.43,,one post per text_hash,True,2026-07-05T11:16:20.452748+00:00
