model_id,module,spec_id,term,notes,n,coef,se,pvalue,built_at,formal_label
e1b_indirect_peripheral,D3,peripheral_p80,peripheral,peripheral = verified==0 & followers<p80 (77287); n_peripheral=10720,17067,0.8618796859155086,0.3901654930352088,0.0271739078963764,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,peripheral_p80,t2,peripheral = verified==0 & followers<p80 (77287); n_peripheral=10720; control term,17067,0.6243072721884828,0.0601710902253303,3.204114923241982e-25,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,peripheral_p90,peripheral,peripheral = verified==0 & followers<p90 (679972); n_peripheral=10877,17067,1.2455706996653582,1.0420516340768944,0.2319674480052826,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,peripheral_p90,t2,peripheral = verified==0 & followers<p90 (679972); n_peripheral=10877; control term,17067,0.6221279656537749,0.0601709185915877,4.6771694271895205e-25,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,peripheral_p95,peripheral,peripheral = verified==0 & followers<p95 (1967472); n_peripheral=10924,17067,18.96378147039186,,,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,peripheral_p95,t2,peripheral = verified==0 & followers<p95 (1967472); n_peripheral=10924; control term,17067,0.6222130520874273,0.060191609323702,4.782798732847474e-25,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,robust_no_review,peripheral,filter robust_no_review==True,16784,1.2346787120843663,1.0412701079750786,0.2357238188905343,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,robust_no_review,t2,filter robust_no_review==True; control term,16784,0.6350878610932513,0.0603053580380599,6.203769261259398e-26,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,unique_text,peripheral,one post per text_hash,13445,1.2314975151480467,1.0701081786030715,0.2498079788475504,2026-07-05T11:16:16.112431+00:00,D3
e1b_indirect_peripheral,D3,unique_text,t2,one post per text_hash; control term,13445,0.6612815055318104,0.0617812782387386,9.790924228941257e-27,2026-07-05T11:16:16.112431+00:00,D3
h1_engagement_indirect,H1,engagement_comments,indirect_clean,H1 y=log_comments,10806,0.0704454872947723,0.0203714143842245,0.0005440887177229,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,engagement_comments,t2,H1 y=log_comments; control term,10806,-0.083428939574397,0.0165454483972779,4.597042441383904e-07,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,engagement_likes,indirect_clean,H1 y=log_likes,10806,0.10184501680049,0.0253867770277086,6.027418867056597e-05,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,engagement_likes,t2,H1 y=log_likes; control term,10806,-0.1226820065263356,0.019205362563723,1.6817518772605515e-10,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,engagement_reposts,indirect_clean,H1 y=log_reposts,10806,0.0070914601328502,0.011223094193963,0.5274762763560146,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,engagement_reposts,t2,H1 y=log_reposts; control term,10806,-0.0431836899499737,0.0072676476536256,2.8172442190717572e-09,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,high_clarity,indirect_clean,filter high_clarity==True,10679,0.1447590874331082,0.0299830400374145,1.3788869361492829e-06,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,high_clarity,t2,filter high_clarity==True; control term,10679,-0.1884143494831569,0.0231923290343101,4.510868606783303e-16,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,peripheral_p80,indirect_clean,peripheral = verified==0 & followers<p80 (77287); n_peripheral=10720,10650,0.1264885022321682,0.0293075284468304,1.5895048805170598e-05,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,peripheral_p80,t2,peripheral = verified==0 & followers<p80 (77287); n_peripheral=10720; control term,10650,-0.1820668584009403,0.022949206190129,2.1310459424044044e-15,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,peripheral_p90,indirect_clean,peripheral = verified==0 & followers<p90 (679972); n_peripheral=10877,10806,0.1322504696495472,0.0293953181788499,6.826366440515378e-06,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,peripheral_p90,t2,peripheral = verified==0 & followers<p90 (679972); n_peripheral=10877; control term,10806,-0.1813758207227322,0.0230030960953979,3.1492907755384293e-15,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,peripheral_p95,indirect_clean,peripheral = verified==0 & followers<p95 (1967472); n_peripheral=10924,10853,0.1297090360334681,0.0296339182871167,1.2029835946538294e-05,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,peripheral_p95,t2,peripheral = verified==0 & followers<p95 (1967472); n_peripheral=10924; control term,10853,-0.1740646623553891,0.0236058619174621,1.6584468503540369e-13,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,robust_no_review,indirect_clean,filter robust_no_review==True,10657,0.1318294574866668,0.0294405546063335,7.540970204975397e-06,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,robust_no_review,t2,filter robust_no_review==True; control term,10657,-0.1841072948774783,0.022910722021886,9.292677735589221e-16,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,unique_text,indirect_clean,one post per text_hash,9174,0.0912337553345666,0.0298688932135182,0.0022545561609215,2026-07-05T11:16:16.112431+00:00,H1
h1_engagement_indirect,H1,unique_text,t2,one post per text_hash; control term,9174,-0.1858122020454412,0.0245863594055807,4.1078846001914893e-14,2026-07-05T11:16:16.112431+00:00,H1
